tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity
2026-07-19,15:00,192.168.2.139,17,10,1,12,5,7010,412.35,0,17,0,0,0.0,1.0,0.0,0.0,0.5882
2026-07-19,15:00,192.168.2.165,1,1,1,1,0,44,44.0,0,1,0,0,0.0,1.0,0.0,0.0,1.0
2026-07-19,15:00,192.168.2.191,23,13,1,15,8,9925,431.52,0,23,0,0,0.0,1.0,0.0,0.0,0.5652
2026-07-19,16:00,192.168.2.139,7,6,1,0,7,6540,934.29,0,7,0,0,0.0,1.0,0.0,0.0,0.8571
2026-07-19,16:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-07-19,16:00,192.168.2.191,292,62,7,92,200,148912,509.97,28,123,141,0,0.0959,0.4212,0.4829,0.0,0.2123
2026-07-19,16:00,192.168.2.195,104,33,2,36,68,49961,480.39,16,88,0,0,0.1538,0.8462,0.0,0.0,0.3173
2026-07-19,17:00,192.168.2.139,47,21,2,22,25,31768,675.91,0,46,1,0,0.0,0.9787,0.0213,0.0,0.4468
2026-07-19,17:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-19,17:00,192.168.2.191,21,13,3,10,11,12578,598.95,0,17,4,0,0.0,0.8095,0.1905,0.0,0.619
2026-07-19,17:00,192.168.2.195,249,47,2,70,179,99876,401.11,57,192,0,0,0.2289,0.7711,0.0,0.0,0.1888
2026-07-19,18:00,192.168.2.139,34,23,3,12,22,16598,488.18,1,28,5,0,0.0294,0.8235,0.1471,0.0,0.6765
2026-07-19,18:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-07-19,18:00,192.168.2.191,133,53,3,81,52,57797,434.56,8,124,1,0,0.0602,0.9323,0.0075,0.0,0.3985
2026-07-19,18:00,192.168.2.195,202,50,6,76,126,79673,394.42,34,157,11,0,0.1683,0.7772,0.0545,0.0,0.2475
2026-07-19,19:00,192.168.2.139,33,15,1,18,15,17644,534.67,0,33,0,0,0.0,1.0,0.0,0.0,0.4545
2026-07-19,19:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-07-19,19:00,192.168.2.191,223,67,7,129,94,77024,345.4,46,155,16,6,0.2063,0.6951,0.0717,0.0269,0.3004
2026-07-19,19:00,192.168.2.195,210,43,3,69,141,96061,457.43,41,169,0,0,0.1952,0.8048,0.0,0.0,0.2048
2026-07-19,20:00,192.168.2.139,5,3,1,0,5,6290,1258.0,0,5,0,0,0.0,1.0,0.0,0.0,0.6
2026-07-19,20:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-07-19,20:00,192.168.2.191,187,46,3,83,104,61322,327.93,54,133,0,0,0.2888,0.7112,0.0,0.0,0.246
2026-07-19,20:00,192.168.2.195,153,37,2,29,124,73213,478.52,35,118,0,0,0.2288,0.7712,0.0,0.0,0.2418
2026-07-19,21:00,192.168.2.139,14,8,1,4,10,12870,919.29,0,14,0,0,0.0,1.0,0.0,0.0,0.5714
2026-07-19,21:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-07-19,21:00,192.168.2.191,164,60,4,99,65,52562,320.5,23,140,1,0,0.1402,0.8537,0.0061,0.0,0.3659
2026-07-19,21:00,192.168.2.195,195,41,3,39,156,109336,560.7,27,168,0,0,0.1385,0.8615,0.0,0.0,0.2103
2026-07-19,22:00,192.168.2.139,14,8,1,3,11,13106,936.14,0,14,0,0,0.0,1.0,0.0,0.0,0.5714
2026-07-19,22:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-19,22:00,192.168.2.191,55,30,6,32,23,24167,439.4,4,45,6,0,0.0727,0.8182,0.1091,0.0,0.5455
2026-07-19,22:00,192.168.2.195,151,40,1,48,103,90902,602.0,0,151,0,0,0.0,1.0,0.0,0.0,0.2649
2026-07-19,23:00,192.168.2.139,54,24,3,29,25,27785,514.54,0,52,2,0,0.0,0.963,0.037,0.0,0.4444
2026-07-19,23:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-07-19,23:00,192.168.2.191,111,45,2,80,31,30746,276.99,3,108,0,0,0.027,0.973,0.0,0.0,0.4054
2026-07-19,23:00,192.168.2.195,89,36,6,36,53,40414,454.09,15,67,7,0,0.1685,0.7528,0.0787,0.0,0.4045
